x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,label
0.5562,-0.4743,-0.1058,0.3875,0.6796,0.1216,-0.0291,-0.1764,0.1649,1.0,0.1902,-0.1342,-0.8299,-1.0,0.164,0.2394,1.0,0.2439,0.8942,-0.4962,-0.2406,0.4434,0.7545,0.5988,-0.6641,1.0,-1.0,-0.2436,-0.134,-0.0815,1.0,1.0,-1.0,-0.488,0.1462,-1.0,0.5787,-0.2341,-0.7178,-0.0654,-0.7042,0.3368,0.0747,0.1903,-0.066,-0.0952,0.4185,0.4074,-0.2363,0.2045,0.0015,0.1819,-1.0,0.0873,1.0,0.2245,-0.5678,0.2636,-0.3633,0.5413,-0.8071,-1.0,0.7148,1.0,-0.308,-0.4019,0.4735,0.4945,1.0,0.0244,0.4579,0.5502,-0.1987,0.6455,1.0,0.2423,1.0,0.5947,0.2219,0.3392,-1.0,1.0,0.0967,-0.3206,-0.1933,-0.1805,0.0264,-0.138,1.0,0.6946,-0.1546,0.216,-0.3784,1.0,0.5015,0.1895,0.3976,-0.2776,0.0124,1.0,0.0
-0.7201,0.2709,0.2852,0.4416,-0.206,0.1223,-0.3418,1.0,0.9353,0.6278,0.038,-0.9208,-0.1183,-0.641,1.0,1.0,0.723,1.0,0.9378,-0.6838,0.0505,0.0786,0.91,0.6968,-0.1608,0.0075,-0.1453,0.0084,0.757,0.6896,-0.2048,-0.6695,-0.8347,0.3384,0.3924,0.1425,0.6939,-0.7623,0.4925,0.9385,-0.49,0.0169,-0.095,0.925,0.3394,-0.4775,-0.0917,-0.2208,-0.5607,0.2109,0.2746,0.9353,-0.1435,0.5355,0.0134,0.6132,-0.2596,-1.0,1.0,-0.1991,-1.0,0.2583,-0.3295,0.879,1.0,0.1582,1.0,1.0,0.2944,-1.0,0.3043,-0.8827,-0.3056,-0.929,-1.0,-0.4261,0.0169,0.4929,0.7613,1.0,-0.9192,0.5858,-0.2774,0.7189,0.5239,0.8173,-0.3054,-1.0,-0.3258,0.2028,-1.0,0.4559,-0.4166,0.2479,0.0584,1.0,1.0,0.2105,-0.0029,0.4102,0.0
0.2205,1.0,-0.274,-0.465,1.0,0.7366,0.8761,0.6881,0.9017,0.3314,-0.3758,0.4777,-0.7508,0.1157,0.8589,0.0558,0.0812,0.0821,1.0,-0.9418,0.5052,-0.6665,0.0876,-0.5683,-0.9587,-0.1217,-0.5342,-0.0951,0.3679,1.0,0.7079,0.2343,0.8284,0.0498,0.4521,-0.4105,0.19,-0.2743,-0.7661,0.274,-0.1621,1.0,1.0,0.3835,-0.6396,-0.3161,-1.0,-0.2702,0.0793,0.1402,1.0,0.5445,-0.1593,-0.1676,0.2048,0.9374,-1.0,-0.5117,-0.1774,0.685,-0.9041,-0.9989,0.9341,0.2676,-0.0822,0.1274,0.5901,0.24,0.259,0.2469,1.0,-0.3795,-0.8539,-0.3741,0.0443,-0.3905,-0.5353,0.5141,-0.1145,0.4667,-0.1831,0.9682,-0.3235,0.2263,0.6592,0.4117,-0.3421,-0.263,0.5159,0.4694,0.2223,1.0,-0.5669,-0.4327,0.2066,0.6716,0.821,0.1847,0.3512,0.3412,0.0
1.0,0.1535,-1.0,0.0711,0.6474,0.5029,-0.1732,0.3432,0.7112,0.4469,-0.3703,1.0,-1.0,0.2772,0.4121,0.34,-0.5773,0.8465,0.6865,-0.0364,0.113,-0.1435,0.0012,0.5606,-0.0236,0.9467,-0.1957,-1.0,0.8693,-0.5224,0.8093,0.1123,0.9412,-0.4347,-0.149,1.0,-1.0,-0.9579,-0.2097,0.5074,-0.5458,0.1256,0.652,1.0,0.0283,-1.0,0.5535,1.0,-0.5373,-1.0,0.1899,1.0,-0.8955,1.0,-0.9795,0.1893,-0.051,0.236,0.001,-0.1458,-0.2,-0.1098,-0.5285,0.5973,0.0879,-0.7775,-0.0618,-0.3639,0.7504,-0.3319,0.0156,-0.554,0.2025,-0.5279,-0.4379,-0.3727,0.4688,1.0,-0.3199,-0.1019,-0.7938,0.576,0.509,1.0,1.0,0.2767,0.8364,-0.0681,0.0759,0.0363,-0.1513,0.4174,-1.0,-0.1444,0.1539,0.6218,0.379,0.0565,-0.1773,-0.0021,0.0
-0.319,0.1738,0.399,-0.0201,-0.2048,-0.5103,-0.3225,0.0155,-1.0,0.8426,-0.6496,0.2838,1.0,-0.1493,0.2019,-0.04,-0.9214,0.4115,0.2147,-1.0,-0.3687,-1.0,0.2885,-0.8564,-0.4936,-0.1619,0.8278,0.2514,-0.0228,0.3449,-0.295,-1.0,0.7678,-0.184,-1.0,-0.1525,0.3164,-1.0,-0.6869,-0.2864,-0.9026,-0.4641,-0.5957,-0.5197,-0.819,-0.7114,-0.9973,-0.6518,1.0,-0.4751,-0.531,0.4013,0.1281,-0.3267,0.5921,0.3991,0.6734,-0.1167,-1.0,-0.7344,0.2277,-0.0384,0.9709,0.3338,-0.3113,-1.0,-1.0,-1.0,-0.068,0.0596,0.2772,1.0,0.0813,-0.2047,-0.3242,-0.8599,0.9072,0.5361,-1.0,0.5635,0.7423,-0.3164,-1.0,-0.1837,-0.7818,-0.0078,-0.0522,0.7554,-1.0,1.0,0.4162,-0.0297,0.4336,0.0846,0.1689,-0.5502,0.0846,0.6531,-1.0,0.4066,1.0
0.5856,-0.076,-0.0003,-1.0,0.2021,0.6829,0.4455,0.777,0.1036,0.922,-0.4307,0.1564,-0.636,0.5994,-0.478,0.1286,-1.0,0.7428,0.2846,-0.4301,-0.4312,0.5007,-0.4284,-0.8938,0.4229,0.1705,1.0,0.4288,0.0175,-0.0576,-0.9246,0.5125,0.818,-0.2391,-0.4944,-0.3147,0.1932,-0.4592,0.9035,-0.1866,-0.6569,-0.1824,-0.881,-0.1896,0.8731,-0.2773,0.3849,-0.5575,0.0158,0.284,-0.4121,-1.0,1.0,-0.8343,0.4826,1.0,-0.1151,0.9286,0.6111,-1.0,0.2144,0.1731,1.0,-0.8521,-1.0,-0.423,0.1802,-0.3292,0.7033,-0.7269,-0.2987,0.7303,0.7176,1.0,-0.3252,-0.9665,0.9169,0.1408,0.4212,-1.0,0.5099,-1.0,0.4501,-0.4682,0.2245,-0.0539,-0.0796,1.0,-0.6284,0.2766,0.4943,-0.4552,1.0,0.8214,-0.7861,-0.7009,-1.0,-0.1538,-0.3598,-0.3969,1.0
-0.0442,-0.3672,0.7675,-0.3567,-0.3499,0.9988,0.5874,0.5346,0.4735,0.4535,0.0933,0.2212,-0.076,0.9922,0.8405,0.1494,-0.1864,0.5021,0.5586,-0.7892,-0.9644,0.2778,-1.0,-0.3433,0.3277,0.3977,-0.1746,-0.8486,-0.9219,-0.1614,-1.0,-0.5747,0.9274,1.0,0.6155,0.9443,0.158,0.2586,-0.2741,-0.237,-0.5516,0.0451,-0.7013,0.0403,0.6226,0.6346,1.0,-0.5763,0.4902,0.2941,-0.1268,-0.1816,0.2828,-1.0,0.4375,0.3236,0.0976,-0.589,0.4075,-0.0482,0.2039,-0.4511,0.4985,-0.2209,0.474,-0.8988,0.0709,-0.2259,0.0157,0.5838,-1.0,0.137,-0.5887,0.6669,0.047,0.1063,0.6602,0.3778,-0.2222,0.2462,0.5565,-0.22,0.1406,0.5307,0.3119,0.1135,-0.3667,-0.4772,0.5243,0.5161,0.6989,-0.5782,0.1553,-0.9932,1.0,-0.2387,-0.4172,0.2364,-0.3138,-0.0281,1.0
0.4882,-0.6159,1.0,-0.6829,0.7193,0.8672,0.1913,-0.441,0.6404,0.5779,-0.668,-1.0,0.2265,-0.547,0.9165,-0.0214,-0.252,0.2013,-0.413,-0.2859,-1.0,-0.7881,-0.6185,-1.0,0.3621,-0.2297,-0.065,-0.1517,0.4513,0.2755,-0.5602,-0.6087,0.2689,0.2581,-0.7676,-0.9781,1.0,-0.5874,-1.0,0.3797,0.1474,-0.2274,-0.1844,0.2499,1.0,-0.8423,0.59,-0.4602,0.1716,1.0,0.0859,0.3724,0.9775,0.2262,0.2868,0.929,-0.1962,0.1172,0.7105,-0.3852,-0.1686,1.0,0.0865,0.5712,0.3596,0.1224,-0.5782,0.1728,0.6874,-0.0358,0.236,0.8457,1.0,0.7973,0.6568,-0.7534,0.8631,0.5448,0.3161,-0.6199,1.0,0.4491,0.6298,0.501,0.8312,-1.0,-1.0,-0.0277,0.1788,0.4681,1.0,-0.5467,0.7363,-1.0,0.5518,-1.0,-0.4877,-1.0,-0.922,-0.1318,1.0
-0.7957,-1.0,0.1364,1.0,-0.7825,-1.0,0.0626,-0.5619,0.9706,-1.0,-1.0,-0.6106,-0.4042,0.1763,0.3205,-0.06,0.4787,-0.4616,-0.0025,0.159,0.4772,-0.891,1.0,1.0,-0.0329,0.8165,-0.5062,0.7024,1.0,0.7062,-0.1916,0.0356,1.0,-0.3739,-0.6755,-0.1171,0.0118,-0.2817,1.0,0.9893,0.1623,-0.1399,-1.0,-0.9577,-0.8385,0.9845,0.2866,-1.0,-0.091,-0.2957,-0.8427,0.4434,-0.3632,0.7837,-0.1002,0.5001,0.8526,0.4925,-0.2046,-0.3743,1.0,0.3229,-1.0,-0.3718,-0.5054,0.768,0.9668,0.7271,0.6208,0.8058,0.4016,0.0961,-0.714,0.3774,-0.5191,1.0,-0.8988,-0.7365,1.0,-0.7437,-0.2475,0.93,-0.1951,0.0147,-0.2786,0.9227,0.9777,-0.4508,0.4167,-0.3437,0.2862,-0.9034,-0.0602,0.9817,-0.4066,-0.2524,-0.0895,-0.3846,0.8631,-0.7573,2.0
-0.5586,-0.5785,0.0716,0.8125,0.7082,-0.4477,-0.4894,-0.1336,-0.1298,-0.7866,1.0,-0.4876,-0.8909,0.4668,-1.0,-0.1918,0.4972,-0.0334,0.219,1.0,0.5869,-0.7541,0.9067,0.4536,1.0,0.8485,-0.4303,-0.2462,0.6945,-0.2266,-0.7689,0.3882,-0.663,-1.0,1.0,-0.4691,0.258,0.2513,-0.2575,-0.221,-0.1801,0.1873,0.1566,0.2964,0.3839,0.5951,0.2603,0.1954,-1.0,0.1227,-0.7095,0.1691,-0.0874,-0.0655,-0.5484,-1.0,1.0,1.0,-0.85,1.0,0.3967,0.7024,0.0842,-0.8017,0.7076,-0.3822,-0.1081,0.349,-0.741,0.0229,0.4151,0.5797,-0.2676,0.5083,-0.1017,0.5367,-1.0,-0.9934,0.2787,-0.8853,-0.0194,0.7223,0.033,-1.0,-1.0,0.0696,0.4733,-0.6382,-0.9955,-0.2418,0.0861,-0.6241,0.3735,0.6072,0.0446,0.1526,-0.0419,1.0,0.4052,-0.2673,2.0
