x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,label
-0.1255,0.4328,-0.7939,0.3281,0.3075,0.5582,-0.4635,0.2389,-1.0,-0.2312,0.0
-0.0293,-0.0359,-1.0,0.8265,0.0546,0.2675,-0.8132,-0.0147,-0.6296,-1.0,0.0
-0.2928,0.074,-0.9171,1.0,-1.0,0.299,-0.5524,0.3042,-0.5599,-0.5812,0.0
-0.062,1.0,-0.9981,0.8902,0.0585,0.7573,-1.0,1.0,-0.4702,-0.6544,0.0
1.0,-0.5995,0.0762,-0.1181,1.0,-0.6461,0.9762,-1.0,-0.0917,0.567,1.0
0.4994,-0.2526,-0.0448,-0.4188,0.9181,-0.6363,0.9901,-0.8221,0.0454,0.7475,1.0
0.671,-0.5498,-0.1876,-0.0881,0.9861,-1.0,1.0,-0.4999,-0.3717,-0.2431,1.0
0.9713,-1.0,0.0109,-0.73,0.1741,-0.8402,0.2284,-0.3708,-0.5951,0.7889,1.0
-1.0,-0.217,0.7603,-0.0358,-0.0235,0.6262,-0.7992,-0.1446,1.0,0.7917,2.0
-0.8249,-0.0345,0.942,-0.4231,-0.0351,0.9318,-0.2557,0.4615,0.445,1.0,2.0
-0.4032,0.3799,0.5409,-0.2762,-0.1452,1.0,0.5289,-0.0376,0.5902,0.2876,2.0
-0.9953,-0.2735,1.0,-1.0,0.5796,0.8642,-0.7809,-0.3094,0.6924,0.7982,2.0
